ax,ay,az,label
-7.34118,-6.641279,0.050249,3
-4.376472,-13.21077,1.740778,3
5.34078,-19.40101,-2.145165,3
4.675576,-11.24746,0.372084,3
-4.820341,-4.119244,0.872184,3
-12.68794,-4.600202,-1.479961,3
3.792624,-12.16033,-2.019542,3
3.802195,-11.47119,1.454836,3
-3.26381,-6.766902,-1.045663,3
-8.109276,-4.131208,2.892923,3
-5.523831,-12.77887,-0.84347,3
7.438089,-20.15235,-0.65683,3
4.313063,-11.56092,0.208176,3
-2.858227,-5.692525,0.502493,3
-6.129215,-3.79382,0.75015,3
0.196211,-13.06242,-1.056431,3
9.01137,-15.60838,-0.070588,3
-5.536992,-7.788638,0.338584,3
-9.704092,-2.910869,0.458226,3
-6.741778,-10.42314,1.819742,3
4.535595,-19.55295,-2.222932,3
6.227321,-11.49751,1.484747,3
-3.105884,-6.037091,1.637887,3
-6.331409,-5.319245,1.445265,3
1.607977,-12.91526,1.926222,3
9.860823,-19.602,-1.90349,3
-1.537389,-11.45325,-1.301696,3
-13.38904,-1.012164,2.550749,3
-8.195418,-8.325827,-0.428315,3
1.925026,-16.27598,-0.772882,3
3.261417,-11.73201,-0.104088,3
-2.606981,-4.25085,0.446261,3
-9.053245,-2.141577,2.675175,3
-1.336391,-11.03929,-1.07677,3
10.90529,-18.78127,-1.868794,3
-0.787239,-11.22952,0.824327,3
-13.39024,-1.100698,1.87358,3
-7.881958,-9.250652,-2.09372,3
2.976671,-18.75734,-0.994218,3
1.789831,-11.48076,-1.554138,3
-4.302295,-3.388237,0.384048,3
-10.65763,-1.415355,1.384248,3
-2.715854,-10.75454,-2.871387,3
10.24367,-17.29054,-0.990629,3
-2.964707,-8.949156,0.92363,3
-12.2704,-2.172683,0.11007,3
-4.071388,-10.6337,0.845863,3
2.139183,-20.30908,-2.516053,3
2.154737,-11.24507,-1.946561,3
-5.447261,-4.353741,2.457429,3
-9.128618,-2.197808,1.744368,3
-2.118845,-12.04308,-1.45364,3
9.332008,-15.55215,-1.080359,3
-4.122834,-9.537791,1.009771,3
-9.842876,-2.991028,2.023132,3
-3.755535,-12.92244,1.555335,3
4.816752,-22.39802,-1.658226,3
3.001796,-12.66401,-1.507478,3
-4.112065,-6.284749,3.701697,3
-11.11466,-3.968496,0.218943,3
-0.034696,-12.62334,-0.89013,3
9.833304,-16.68037,1.424926,3
-5.028517,-10.14078,-0.119641,3
-10.19103,-3.261417,1.76351,3
-3.707679,-12.09333,3.862016,3
4.884947,-23.59084,-0.758525,3
5.550152,-13.54218,-1.317249,3
-4.072584,-6.139983,3.919443,3
-11.51067,-3.571288,-1.188036,3
0.379262,-12.57428,-0.484547,3
8.274381,-14.84627,1.520639,3
-3.079563,-8.950354,0.162712,3
-7.929814,-3.578466,5.568099,3
-2.723032,-14.20739,2.37368,3
7.331609,-23.9354,-2.155933,3
6.48096,-13.66421,-0.668794,3
-6.222536,-5.749953,2.476572,3
-12.59941,-2.367698,-2.790031,3
1.012164,-9.710074,-1.331606,3
6.96431,-12.90928,2.440679,3
-3.188436,-6.774081,-0.429512,3
-8.451449,-1.878366,2.964707,3
-3.04367,-14.55075,0.808774,3
7.445268,-22.52125,-2.847459,3
5.657829,-12.54318,-1.131805,3
-8.299506,-5.006981,0.659223,3
-14.71466,-0.717847,-1.403391,3
0.893719,-8.293524,-2.773281,3
7.430911,-11.00579,0.474975,3
-4.768896,-5.168497,-0.338584,3
-9.91825,-2.29711,2.617748,3
-5.069195,-12.93081,-1.240679,3
6.270391,-19.7707,-4.010371,3
3.457629,-11.43051,0.486939,3
-9.391829,-5.998806,-1.641476,3
-13.70968,-0.972682,-1.200001,3
-2.517249,-9.427721,-2.392823,3
9.242277,-13.00499,-2.525624,3
-2.204986,-6.317052,3.273381,3
-13.35075,0.835095,-1.674976,3
-6.076573,-10.80599,-1.337588,3
5.083552,-19.41656,-1.177269,3
3.196811,-12.64367,-3.036492,3
-5.669794,-4.960321,1.217947,3
-14.12483,-0.232104,-3.04367,3
-0.096909,-10.8335,-3.236293,3
8.222935,-15.88954,1.237089,3
-1.555335,-10.0032,-0.891326,3
-10.80718,-0.768096,0.479761,3
