ax,ay,az,label
-11.91027,-1.115055,0.400798,2
-11.06561,-3.259024,-0.772882,2
-0.325424,-12.30868,-1.256232,2
10.95793,-15.37747,-0.911665,2
-5.740382,-6.022735,1.478764,2
-10.57628,1.405783,-2.411965,2
-6.072984,-9.4349,1.337588,2
6.738188,-19.79821,-2.68714,2
1.947758,-11.6686,-1.0337,2
-8.93121,-1.404587,-0.015553,2
-13.46561,-4.84068,-0.729811,2
1.404587,-11.34318,-2.691926,2
4.073781,-14.61057,1.049253,2
-1.071985,-6.476174,-3.148955,2
-13.31247,1.503889,2.467,2
-6.579066,-7.329216,-1.678565,2
7.953743,-17.39223,-1.054038,2
1.604388,-13.34956,-1.599602,2
-11.81576,-1.471586,-0.62333,2
-12.23091,-3.580859,0.005982,2
-5.809773,-9.943375,-0.585045,2
10.34657,-15.67777,-3.037688,2
